 ,open,high,low,adjclose,volume,ticker
2016-04-12,641,644,638,638,11300,Dedam
2016-04-13,646,646,623,624,64889,Dedam
2016-04-16,633,633,617,628,4909,Dedam
2016-04-17,630,630,602,617,9824,Dedam
2016-04-18,635,635,627,632,14199,Dedam
2016-04-19,612,635,609,635,46879,Dedam
2016-04-20,635,635,608,610,42100,Dedam
2016-04-23,610,633,610,610,12635,Dedam
2016-04-24,627,629,626,629,24300,Dedam
2016-04-25,612,632,608,628,37906,Dedam
2016-04-26,621,621,608,621,13766,Dedam
2016-04-27,623,623,609,609,13924,Dedam
2016-04-30,609,611,602,603,43138,Dedam
2016-05-01,600,645,600,645,382200,Dedam
2016-05-02,641,641,603,616,74437,Dedam
2016-05-03,613,646,613,625,197591,Dedam
2016-05-04,613,620,613,617,58100,Dedam
2016-05-07,623,623,613,613,14598,Dedam
2016-05-08,611,616,593,593,128140,Dedam
2016-05-09,594,594,592,594,22115,Dedam
2016-05-18,590,605,565,574,32467,Dedam
2016-05-21,578,583,569,575,35952,Dedam
2016-05-29,567,582,567,578,58358,Dedam
2016-05-30,577,590,577,577,44048,Dedam
2016-05-31,567,589,567,571,24251,Dedam
2016-06-01,547,577,547,560,2128,Dedam
2016-06-05,577,577,549,550,21875,Dedam
2016-06-06,543,599,542,577,167952,Dedam
2016-06-07,578,587,554,561,16570,Dedam
2016-06-08,543,589,543,589,145138,Dedam
2016-06-11,616,616,615,616,103771,Dedam
2016-06-12,622,646,612,645,67589,Dedam
2016-06-13,639,646,635,646,23489,Dedam
2016-06-14,628,628,618,618,22298,Dedam
2016-06-15,613,646,612,644,54397,Dedam
2016-06-18,615,646,615,646,2200,Dedam
2016-06-19,629,639,629,629,12130,Dedam
2016-06-20,615,623,604,623,4840,Dedam
2016-06-21,623,635,604,623,10530,Dedam
2016-06-22,605,635,605,635,35606,Dedam
2016-06-25,640,640,639,639,779,Dedam
2016-06-26,604,606,595,600,95796,Dedam
2016-06-28,624,624,581,616,2582,Dedam
2016-06-29,589,589,578,589,15064,Dedam
2016-07-02,577,577,575,575,14133,Dedam
2016-07-03,575,590,574,574,15024,Dedam
2016-07-04,578,578,568,571,23606,Dedam
2016-07-05,560,560,560,560,1200,Dedam
2016-07-09,562,584,562,584,3154,Dedam
2016-07-10,584,584,566,566,2500,Dedam
2016-07-11,566,566,555,555,48200,Dedam
2016-07-12,565,565,544,544,20000,Dedam
2016-07-13,543,576,542,560,7993,Dedam
2016-07-17,554,576,554,554,18560,Dedam
2016-07-18,577,592,576,592,58213,Dedam
2016-07-19,576,607,576,607,36520,Dedam
2016-07-20,611,618,611,618,102041,Dedam
2016-07-23,646,646,600,623,45735,Dedam
2016-07-24,606,654,600,654,106152,Dedam
2016-07-25,658,673,658,673,99390,Dedam
2016-07-26,661,706,639,706,540900,Dedam
2016-07-27,720,721,720,721,110029,Dedam
2016-07-31,748,757,687,704,479659,Dedam
2016-08-01,775,783,765,783,343359,Dedam
2016-08-02,821,821,810,821,246119,Dedam
2016-08-03,862,862,854,860,70667,Dedam
2016-08-06,889,898,861,892,140415,Dedam
2016-08-07,900,900,846,846,131303,Dedam
2016-08-08,804,804,804,804,3369,Dedam
2016-08-09,802,802,802,802,7250,Dedam
2016-08-10,798,798,798,798,15000,Dedam
2016-08-13,789,789,789,789,6200,Dedam
2016-08-14,786,786,786,786,8200,Dedam
2016-08-15,781,781,781,781,6300,Dedam
2016-08-16,778,778,778,778,5901,Dedam
2016-08-17,774,774,774,774,5000,Dedam
2016-08-20,772,772,772,772,1185,Dedam
2016-08-21,771,771,771,771,4544,Dedam
2016-08-22,768,768,768,768,4242,Dedam
2016-08-23,766,766,766,766,2474,Dedam
2016-08-24,765,765,765,765,6385,Dedam
2016-08-27,761,761,761,761,3299,Dedam
2016-08-28,760,760,760,760,72894,Dedam
2016-08-29,722,798,722,784,1133487,Dedam
2016-08-30,773,788,725,757,184800,Dedam
2016-08-31,761,761,704,761,75834,Dedam
2016-09-03,746,746,693,714,37514,Dedam
2016-09-04,687,721,679,698,113790,Dedam
2016-09-05,658,710,653,653,249862,Dedam
2016-09-06,653,691,653,691,134464,Dedam
2016-09-07,711,711,711,711,103930,Dedam
2016-09-10,746,747,681,747,157898,Dedam
2016-09-11,773,773,706,706,93111,Dedam
2016-09-13,702,717,702,702,58300,Dedam
2016-09-14,687,687,677,677,191117,Dedam
2016-09-17,677,707,658,685,110767,Dedam
2016-09-18,685,686,638,675,97434,Dedam
2016-09-19,675,675,638,646,120249,Dedam
2016-09-21,677,677,635,670,46686,Dedam
2016-09-24,681,681,660,665,125024,Dedam
2016-09-25,673,687,658,669,72077,Dedam
2016-09-26,669,679,664,668,67554,Dedam
2016-09-27,654,687,654,686,15312,Dedam
2016-09-28,670,686,669,669,33723,Dedam
2016-10-01,669,684,656,684,9764,Dedam
2016-10-02,679,679,657,669,32405,Dedam
2016-10-03,660,680,636,652,71522,Dedam
2016-10-04,629,673,623,648,139428,Dedam
2016-10-05,662,662,624,637,28221,Dedam
2016-10-08,624,662,624,654,89840,Dedam
2016-10-09,668,668,638,642,16070,Dedam
2016-10-10,641,658,637,649,42605,Dedam
2016-10-15,649,666,638,658,65124,Dedam
2016-10-16,632,642,629,629,38676,Dedam
2016-10-17,624,653,619,651,27446,Dedam
2017-01-08,603,603,603,603,55187,Dedam
2017-01-09,585,585,585,585,2335,Dedam
2017-01-11,584,584,584,584,10848,Dedam
2017-01-15,580,580,580,580,6866,Dedam
2017-01-16,578,578,578,578,2937,Dedam
