 ,open,high,low,adjclose,volume,ticker
2015-02-02,795,795,795,20,700,IRO1DAML0001
2015-02-03,743,746,743,13,2504,IRO1DAML0001
2015-02-04,753,778,753,22,14893,IRO1DAML0001
2015-02-07,748,763,748,20,2575,IRO1DAML0001
2015-02-08,753,783,753,20,6473,IRO1DAML0001
2015-02-09,753,753,753,18,10240,IRO1DAML0001
2015-02-10,753,768,753,20,7070,IRO1DAML0001
2015-02-14,753,753,743,19,20904,IRO1DAML0001
2015-02-15,744,753,733,17,9488,IRO1DAML0001
2015-02-16,729,743,729,20,5050,IRO1DAML0001
2015-02-17,743,786,743,23,76325,IRO1DAML0001
2015-02-18,769,788,753,19,7156,IRO1DAML0001
2015-02-24,789,800,789,24,25758,IRO1DAML0001
2015-02-25,789,789,789,19,4000,IRO1DAML0001
2015-03-01,798,798,798,21,5997,IRO1DAML0001
2015-03-02,798,798,749,18,2099,IRO1DAML0001
2015-03-03,788,788,750,16,4431,IRO1DAML0001
2015-03-04,763,788,763,24,1245,IRO1DAML0001
2015-03-07,749,791,749,16,4662,IRO1DAML0001
2015-03-08,763,763,758,20,1700,IRO1DAML0001
2015-03-09,758,758,758,19,275,IRO1DAML0001
2015-03-10,783,792,783,24,800,IRO1DAML0001
2015-03-11,778,778,745,14,9225,IRO1DAML0001
2015-03-14,763,791,753,26,6600,IRO1DAML0001
2015-03-15,791,791,761,16,8066,IRO1DAML0001
2015-03-16,790,790,748,21,6626,IRO1DAML0001
2015-03-17,783,783,783,21,129,IRO1DAML0001
2015-03-18,749,783,749,17,11523,IRO1DAML0001
2015-03-25,753,753,742,17,82974,IRO1DAML0001
2015-03-28,743,777,743,24,6210,IRO1DAML0001
2015-03-29,776,777,763,19,31794,IRO1DAML0001
2015-03-30,790,790,790,22,150,IRO1DAML0001
2015-03-31,746,783,746,19,12824,IRO1DAML0001
2015-04-04,789,789,789,20,177809,IRO1DAML0001
2015-04-05,821,821,821,24,82268,IRO1DAML0001
2015-04-06,848,848,805,18,16137,IRO1DAML0001
2015-04-07,786,794,785,17,24952,IRO1DAML0001
2015-04-08,814,824,814,23,31962,IRO1DAML0001
2015-04-11,785,785,778,15,22049,IRO1DAML0001
2015-04-13,778,778,768,18,2250,IRO1DAML0001
2015-04-14,815,819,814,25,4777,IRO1DAML0001
2015-04-15,814,814,804,18,7251,IRO1DAML0001
2015-04-18,770,814,770,21,5621,IRO1DAML0001
2015-04-19,824,824,824,21,180,IRO1DAML0001
2015-04-20,814,814,780,14,8250,IRO1DAML0001
